,EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE,start_date,end_date,Difference,Region,Province_Name
0,Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,New Brunswick,NB,2014-07-05 00:00:00,0.0,0.0,0.0,12500000.0,,2014-07-05 00:00:00,,12500000.0,,,,,420000.0,0.0,0.0,2014-07-05,2014-07-05,0,Eastern Canada,New Brunswick
1,Disaster,Natural,Meteorological - Hydrological,Flood,Southern Manitoba,MB,2014-06-25 00:00:00,0.0,0.0,560.0,1000000000.0,,2014-06-25 00:00:00,,,,,1000000000.0,,,0.0,0.0,2014-06-25,2014-06-25,0,Western Canada,Manitoba
2,Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,2014-06-15 00:00:00,0.0,0.0,500.0,0.0,,2014-06-15 00:00:00,,,,,,,,0.0,0.0,2014-06-15,2014-06-15,0,Western Canada,Alberta
3,Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,BC,2014-06-01 00:00:00,0.0,0.0,4500.0,300000000.0,,2014-09-30 00:00:00,,,300000000.0,,,,,0.0,0.0,2014-06-01,2014-09-30,121,Western Canada,British Columbia
4,Disaster,Natural,Meteorological - Hydrological,Wildfire,Northwest Territories,NT,2014-06-01 00:00:00,0.0,0.0,100.0,55000000.0,,2014-09-18 00:00:00,,,55000000.0,,,,,0.0,0.0,2014-06-01,2014-09-18,109,Northern Canada,Northwest Territories
5,Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick,NB,2014-04-14 00:00:00,0.0,0.0,1495.0,16000000.0,,2014-04-14 00:00:00,,16000000.0,,,,,,0.0,0.0,2014-04-14,2014-04-14,0,Eastern Canada,New Brunswick
6,Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,QC,2014-04-14 00:00:00,0.0,0.0,1000.0,0.0,,2014-04-14 00:00:00,,,,,,,,0.0,0.0,2014-04-14,2014-04-14,0,Eastern Canada,Quebec
7,Disaster,Natural,Meteorological - Hydrological,Winter Storm,New Brunswick,NB,2013-12-22 00:00:00,0.0,0.0,0.0,0.0,,2013-12-22 00:00:00,,,,,,,,0.0,0.0,2013-12-22,2013-12-22,0,Eastern Canada,New Brunswick
8,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Québec,QC,2013-12-21 00:00:00,6.0,0.0,0.0,0.0,,2013-12-26 00:00:00,,,,,,,,153000.0,0.0,2013-12-21,2013-12-26,5,Eastern Canada,Quebec
9,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Ontario,ON,2013-12-21 00:00:00,2.0,25.0,0.0,164200000.0,,2013-12-21 00:00:00,,4200000.0,160000000.0,,,,2490000.0,0.0,0.0,2013-12-21,2013-12-21,0,Eastern Canada,Ontario
10,Disaster,Natural,Meteorological - Hydrological,Flood,"Toronto, Ontario",ON,2013-07-08 00:00:00,0.0,0.0,0.0,940000000.0,,2013-07-08 00:00:00,,,,,,940000000.0,,300000.0,0.0,2013-07-08,2013-07-08,0,Eastern Canada,Ontario
11,Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,AB,2013-06-19 00:00:00,4.0,0.0,100000.0,2200000000.0,,2013-06-28 00:00:00,500000000.0,,,,,1700000000.0,,0.0,0.0,2013-06-19,2013-06-28,9,Western Canada,Alberta
12,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southeast British Columbia,BC,2013-06-19 00:00:00,0.0,0.0,200.0,0.0,,2013-06-21 00:00:00,,,,,,,,0.0,0.0,2013-06-19,2013-06-21,2,Western Canada,British Columbia
13,Disaster,Natural,Meteorological - Hydrological,Flood,"Kasabonika Lake First Nation, Ontario",ON,2013-05-27 00:00:00,0.0,0.0,150.0,0.0,,2013-05-31 00:00:00,,,,,,,,0.0,0.0,2013-05-27,2013-05-31,4,Eastern Canada,Ontario
14,Disaster,Natural,Meteorological - Hydrological,Flood,"Cumberland House, SK",SK,2013-04-29 00:00:00,0.0,0.0,3000.0,20000000.0,,2013-04-29 00:00:00,,,,,,,,0.0,0.0,2013-04-29,2013-04-29,0,Western Canada,Saskatchewan
15,Disaster,Natural,Meteorological - Hydrological,Wildfire,"Vita, Manitoba",MB,2012-10-02 00:00:00,0.0,0.0,200.0,0.0,,2012-10-03 00:00:00,,,,,,,,0.0,0.0,2012-10-02,2012-10-03,1,Western Canada,Manitoba
16,Disaster,Natural,Meteorological - Hydrological,Wildfire,"Lethbridge and Coalhurst, Alberta",AB,2012-09-01 00:00:00,0.0,0.0,2500.0,0.0,,2012-09-11 00:00:00,,,,,,,,0.0,0.0,2012-09-01,2012-09-11,10,Western Canada,Alberta
17,Disaster,Natural,Meteorological - Hydrological,Wildfire,"Peachland, British Columbia",BC,2012-09-09 00:00:00,0.0,0.0,1550.0,0.0,,2012-09-12 00:00:00,0.0,0.0,,,,,,0.0,0.0,2012-09-09,2012-09-12,3,Western Canada,British Columbia
